from,to,Type,Weight
a51,a11,Undirected,2
a51,a26,Undirected,2
a51,a49,Undirected,9
a52,a39,Undirected,1
a52,a51,Undirected,1
a53,a51,Undirected,1
a54,a26,Undirected,1
a54,a49,Undirected,1
a54,a51,Undirected,2
a55,a11,Undirected,19
a55,a16,Undirected,1
a55,a25,Undirected,2
a55,a26,Undirected,21
a55,a39,Undirected,1
a55,a41,Undirected,5
a55,a48,Undirected,4
a55,a49,Undirected,12
a55,a51,Undirected,6
a55,a54,Undirected,1
a56,a49,Undirected,1
a56,a55,Undirected,1
a57,a41,Undirected,1
a57,a48,Undirected,1
a57,a55,Undirected,1
a58,a11,Undirected,4
a58,a27,Undirected,6
a58,a48,Undirected,7
a58,a55,Undirected,7
a58,a57,Undirected,1
a59,a48,Undirected,6
a59,a55,Undirected,5
a59,a57,Undirected,2
a59,a58,Undirected,15
a60,a48,Undirected,1
a60,a58,Undirected,4
a60,a59,Undirected,2
a61,a48,Undirected,2
a61,a55,Undirected,1
a61,a57,Undirected,1
a61,a58,Undirected,6
a61,a59,Undirected,5
a61,a60,Undirected,2
a62,a41,Undirected,1
a62,a48,Undirected,7
a62,a55,Undirected,9
a62,a57,Undirected,2
a62,a58,Undirected,17
a62,a59,Undirected,13
a62,a60,Undirected,3
a62,a61,Undirected,6
a63,a48,Undirected,5
a63,a55,Undirected,1
a63,a57,Undirected,2
a63,a58,Undirected,4
a63,a59,Undirected,5
a63,a60,Undirected,2
a63,a61,Undirected,3
a63,a62,Undirected,6
a64,a11,Undirected,1
a64,a48,Undirected,5
a64,a55,Undirected,5
a64,a57,Undirected,1
a64,a58,Undirected,10
a64,a59,Undirected,9
a64,a60,Undirected,2
a64,a61,Undirected,6
a64,a62,Undirected,12
a64,a63,Undirected,4
a65,a48,Undirected,3
a65,a55,Undirected,2
a65,a57,Undirected,1
a65,a58,Undirected,5
a65,a59,Undirected,5
a65,a60,Undirected,2
a65,a61,Undirected,5
a65,a62,Undirected,5
a65,a63,Undirected,5
a65,a64,Undirected,7
a66,a48,Undirected,1
a66,a58,Undirected,3
a66,a59,Undirected,1
a66,a60,Undirected,1
a66,a61,Undirected,1
a66,a62,Undirected,2
a66,a63,Undirected,1
a66,a64,Undirected,3
a66,a65,Undirected,2
a67,a57,Undirected,3
a68,a11,Undirected,1
a68,a24,Undirected,1
a68,a25,Undirected,5
a68,a27,Undirected,1
a68,a41,Undirected,1
a68,a48,Undirected,1
a69,a11,Undirected,1
a69,a24,Undirected,1
a69,a25,Undirected,6
a69,a27,Undirected,2
a69,a41,Undirected,1
a69,a48,Undirected,1
a69,a68,Undirected,6
a70,a11,Undirected,1
a70,a24,Undirected,1
a70,a25,Undirected,4
a70,a27,Undirected,1
a70,a41,Undirected,1
a70,a58,Undirected,1
a70,a68,Undirected,4
a70,a69,Undirected,4
a71,a11,Undirected,1
a71,a25,Undirected,1
a71,a27,Undirected,1
a71,a41,Undirected,1
a71,a48,Undirected,1
a71,a68,Undirected,2
a71,a69,Undirected,2
a71,a70,Undirected,2
a72,a11,Undirected,1
a72,a26,Undirected,2
a72,a27,Undirected,1
a73,a48,Undirected,2
a74,a48,Undirected,2
a74,a73,Undirected,3
a75,a25,Undirected,3
a75,a41,Undirected,1
a75,a48,Undirected,1
a75,a68,Undirected,3
a75,a69,Undirected,3
a75,a70,Undirected,1
a75,a71,Undirected,1
a76,a48,Undirected,1
a76,a58,Undirected,1
a76,a62,Undirected,1
a76,a63,Undirected,1
a76,a64,Undirected,1
a76,a65,Undirected,1
a76,a66,Undirected,1
